ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ס|ו|פ|י|א|	s|o|p:h|i|a|
א|ל|ג|מ|ל|	e|l|g:a|m:a|l|
ק|א|ב|ר|י|נ|י|	c|a|b|r|i|n|i|
ט|י|מ|ו|	t|i|m|o|
ז|ב|ו|נ|י|מ|י|ר|	z|v|o|n|i|m|i|r|
ג:':א|נ|י|ז|	j:a|n|e|z|
ע:י|ר|א|ק|י|	i|r|a|q|i|
ק|א|ר|ל|ו|ף|	k|a|r|l|o|f:f|
ס|א|י|ט|ו|	s|a|i|t|o|
ק|ו|ל|ו|ר|א|ד|ו|	c|o|l|o|r|a|d|o|
ס|ו|מ|י|ל|	s|o|m:m:e|i|l|
ט|ר|א|ב|י|ס|	t|r|a|v|i|s|
ט|ו|ר|י|נ|ג|	t|u|r|i|n|g|
ר|א|ד|ו|י|ק|ו|	r|a|d|o|j|k|o|
ל|י|נ|ק|ו|ל|ן|	l|i|n|c|o|l|n|
נ|ק:א|ש|	n:a|q:q:a|s:h|
א|פ|ו|ל|י|נ|י|י|ר|	a|p|o|l:l|i|n|a|i|r:e|
מ:א:ק|ו:ר|מ|י|ק|	m:c|c:o:r|m|i|c:k|
ב|י|נ|ו:א|	b|e|n|o:i:t|
פ|א|ס|ק|א|ל|	p|a|s|c|a|l|
מ|ר|ו|ו|ח|י|ן|	m:a|r|w|a|h|i|n|
א|ל|י|פ|ת|י|ר|י|ו|ס|	e|l|e|f|t:h|e|r|i|o|s|
ס|נ|ט|ו|ר|ק|	s:e|n|t|u|r|k|
נ|י|ל|ו|	n|e|l|o|
א|נ|ד|ר|ס|ן|	a|n|d|e:r|s:s|e:n|
ב|ר|ט|י|	b|e:r|t|i|
ג|'|ו|ר|ג:':י|נ|ז|	g|e|o|r|g:i|a:n|s|
י|א|נ|ס|י|נ|ס|	j|a|n|s:s|e|n|s|
י|ו|ס|ף|	y|o|s|e:f|
ח|י|ר|ס|ו|ן|	k:h|e|r|s|o|n|
מ:ק|א|ן|	m:c:c|a|n:n|
פ|א|ק|י|	p|a|c:k|i:e|
ר|פ|א|ל|י|	r:a|f:f|a|e:l|e|
פ|א|ט|ר|י|ש:א|	p|a|t|r|i|c:i:a|
מ:א:ק|נ|ר:ו|	m:c|e:n|r:o:e|
ס|א|ל|כ|א|ר|ד|	s|a|l:e|k:h|a|r|d|
ק|ו|פ|ה|	c|o:u|p|e:t|
ג|ו|ד|א|	g|o|d|a|
מ|ו|ל|ר|	m|o|l:l|e:r|
א|ב|ר|ה|ם|	a|v|r:a|h:a|m|
פ|ו|ס|ט|י|ג|א|	p|o|s|t|i|g|a|
א|ב|ח|ו|ר|	a|b|h|u|r|
ש|ב|ת|א|י|	s:a:b|b|a:t|a|i|
פ|א|ז|	p|a|z|
ל|ו|ג|ו|פ|י|ט|	l|o|g|o|f|e|t|
ק|א|ר|א|ן|	k|a|r|a|n|
י|ו|ר|ק|	y|o|r|k|
א|ס|נ|א|	e|s|n|a|
ק|א|פ|א|	c|a|p|a|
ל|א|פ|ט|ה:א|ו|ס|	l|o|f|t|h|o:u|s:e|
ה|י|ט|ס:ל|פ|י|ר|ג|ר|	h|i|t|z:l:s|p|e|r|g|e:r|
ש|א|פ|ו|ז|י|ו|	c:h|a|p:p|u|z|e|a:u|
ק|ו|ק|א|ר|ד|	c|o|c|a|r|d|
ל|י|ב|ר|מ|א|ן|	l|i:e|b|e:r|m|a|n|
ל|ב|י|נ|ג:'|ר|	l|e:v|i|n|g|e:r|
ש:י|נ|ז|ו|	s:h:i|n|z|o|
ג|ו|ל|מ|ו|ח|מ|ד|י|	g|o|l|m|o|h:a:m|m:a|d|i|
ש|י|ר|ב|י|ו|ס|	s:c:h|e|r|b|i|u|s|
ס|א:י|נ|א|י|	s|i|n|a|i|
ה|א:ו|ו|ל|ז|	h|o|w|e:l:l|s|
ל|א|ט|י|נ|א|	l|a|t|i|n|a|
ק:א|פ|ר|	k:u:f|f:e|r|
ר|ו|	r|o:u:x|
ק|י|ר|י|נ|י|א|	k|y|r|e|n|i|a|
א:ף|	f|
ל|י|נ|ד|ס|י|י|	l|i|n|d|s|e|y|
ס|י|ק|ט|י|ב|ק|א|ר|	s|y|k|t|y|v|k|a|r|
ק|ו|ר|נ|ב|ר|ג|	k|o|r|n|b|e:r|g|
י|ו|ה|א|נ|ס|	j|o|h|a|n:n:e|s|
פ|א:י|ר|ו|ז|	f:a|i|r|u|z|
א|ה|י|ר|ן|	a|h|e|r|n|
ו|י|ש|נ|י|ב|א|	v|i|s:h|n|e|v|a|
כ|נ|ע|ן|	k|a:n|a|a:n|
א:י|נ|ג|מ|א|ר|	i|n|g|m|a|r|
ג:'|ק|	j|a:c:k|
פ|ר|א|נ|ס|	f|r|a|n|c:e|
ג:'|נ|ר|	j:e:n|n|e:r|
ב|ו|ם|	b|o|h:m|
ל|ו|	l|o:u|
ד|א|ר|מ|י|א|ן|	d|a|r|m|i|a|n|
מ|י|ר|ב|י|ן|	m|e|r|v|y|n|
ג|ע|ג|ע|	g:e|a|g:e|a|
מ|י|ג|	m|e|g|
ל:ו|	l:o:w|
ש|פ|ר|י|נ|צ:ק|	s|p|r|i|n|z:a:k|
ה|ו|פ|מ|א|ן|	h|o|f:f|m|a|n|
ק|ו|נ|ו|ר|	c|o|n|o|r|
ב|י|ל|ה|א|ר|ץ|	b|i|l|h|a|r|z|
נ|א|פ:ל|י|ו|ן|	n|a|p:o:l|e|o|n|
ב|י|ג:':ו|ט|א|ט|	b|i|j:o|t|a|t|
מ|ו|ר|י|ל|ו|	m|o|r|e|l:l|o|
ש|ק|י|ב|	c:h:a|k|i|b|
נ|ו|ר|ד|ס|ט|ר|ו|ם|	n|o|r|d|s|t|r|o|m|
ק|נ|ק|ו|נ|י|	k:a|n|k|o:u|n|e|
מ|י|נ|ר|ב|א|	m|i|n|e:r|v|a|
ק|ו|ר|י|ן|	c|o|r|i|n|
מ|א|ט|א|ו|ס|	m|a|t:t:h|a|u|s|
מ|ו|ר|ס|א|ל|	m|u|r|s|a|l|
מ|א|ק:ס|י|	m|a|x|i|
ס|י|א|ק|	s|j:a|a|k|
ס|י|ג:פ|ר|י|ד|	s|i|e:g:f|r|i|e:d|
ל|ו|י|ס|א|ו|	l|u|i|s|a|o|
ד|ו|ל|צ:':ה|	d|o|l|c:e|
ע:א|ש|ו|ר|	a|s:h|o:u|r|
ל|י|ס|י|צ|ק|י|	l|i|s:s|i|t:z|k|y|
ק|ר|י|ס|ט|י|א|ן|	k|r|y|s|t|i|a|n|
מ|ק:ס|י|ק|ו|	m:e|x|i|c|o|
ר|ו|ק|י|	r|o|c:c:h|i|
ק|ר|ו|נ|נ|ב|ר|ג|	c|r|o|n:e|n|b|e:r|g|
ק|ו|ך|	k|o|c:h|
י|א|מ|א|מ|ו|ט|ו|	y|a|m|a|m|o|t|o|
פ|י|ר|ס|י|	p|e|r|c|y|
ו|י|י|נ:א|	v|i|e|n:n:a|
א|ל|ר|י:ט|ש|	e|l|r|i|c:h|
מ|י|ר|א|	m|i|r|a|
א|נ|י|	a|n:n|i:e|
ק|ל|א|ו|ס|	k|l|a|u|s|
מ|ו|נ|ט|ו|ל|י|ב|ו|	m|o|n|t|o|l|i|v|o|
ק|ו|י|ד|	q|u|i|d:d:e|
א|ו|ג|ו|ס|ט|א|	a|u|g|u|s|t|a|
ס|ד|ק|י|	s|e:d|k|i|
א:ו|ר|א|ק|ל|	o|r|a|c|l:e|
מ|י|ר|י|ו|	m:e|y|r|i:e|u|
י|ו|ז:'|נ|י|	y|o|u:z:h|n|y|
ג|ר|א|נ|ט|	g|r|a|n|t|
מ|ו|ס|ק|א|ט|	m|u|s|c|a|t|
ק|א|י|ז|ר|ס|ל|א|ו|ט|ר|ן|	k|a|i|s|e:r|s|l|a|u|t|e:r|n|
ק|א|ס|פ|ר|	k|a|s|p|e:r|
ז|ו|ק|ו|	z|o|c|o|
ט|א:י|ס|ו|ן|	t|y|s|o|n|
ס|ר|ג:':י|ו|	s|e:r|g:i|o|
ש|ק|ס|פ:י|ר|	s:h:a|k:e|s|p:e:a|r:e|
ס|י|ל|ב|י:י|ן|	s|y|l|v|a|i:n|
ח|א|ג:':י|ם|	h|a|j:i|m|
ב|נ|ז|	b:e|n|z|
ל|א|מ|י|א|	l|a|m|i|a|
נ|י|א|ר|ק|ו|	n|y|a|r|k|o|
ט|א:י|ג|ר|	t|i|g|e:r|
ק|ק:י|	k:a|k:h:i|
פ|א|ל|א|ט|י|נ:י:י|ט|	p|a|l|a|t|i|n:a|t:e|
א:י:ב|א|נ|ו|ב|ו|	i:v|a|n|o|v|o|
פ|י|ט|ר|י|	p|e|t|r|i|
ק|ר|ו|י|ד|ו|ן|	c|r|o|y|d|o|n|
ו|ל|א|ד|י|ק|א|ב|ק|א|ז|	v|l|a|d|i|k|a|v|k|a|z|
ש|ר|ג|א|	s:h|r:a|g|a|
ס|ו|ר|י|א|ק|	s|u|r|j|a|k|
ב|ל|א|ר|ו|ס|	b:e|l|a|r|u|s|
פ|א|ט|י|	p|a|t:t|y|
ס|א|ל|י|	s|a|l|i|
פ|י|ר|ל|	p|e|r|l|
ק|ו|ש:י|ס|	k|o|c:s:i|s|
ה|ו|ל|י|ר|י|ת|	h|o|l:l|e|r|i|t:h|
ל|א|ב|ר|ו|נ|י|נ|ק|ו|	l|a|v|r|o|n|e|n|k|o|
ק|א|ס|ט|י|ל|ו|	c|a|s|t|i|l:l|o|
נ|ו|ר|ד|ב:י|י|ט|	n|o|r|d|t:v:e|i|t|
ק|ו|ש|	k|u|s:c:h|
מ|א|ל|ק|ו|	m|a|l|k|o|
נ:פ|ט|י|	n:a:f|t|i|
ש:י|נ|ק|י|צ:'|י|	s:h:i|n|k|i|c|h:i|
ג|א|ן|	g|a|n|
ס|א|י|ד|ו|	s|a|i|d|o:u|
ש|א|ז|	c:h|a|z:z|
ר|י|נ|ר|	r|e|n:n|e:r|
ס|ו|י|ו|ז|	s|o|y|u|z|
ב|ר|י|ש|ט|	b|r|e|c:h|t|
ר|י|ק|	r|i|k|
מ:א:ק|נ|א|ב|	m:c|n|a|b|
ה|א|ת|א|י|ר|א|ט|א|נ|א|ק|ו:ל|	h|a|t:h|a|i|r|a|t:t|a|n|a|k|o:o:l|
ו|י|נ|ט|ו|ר|י|	v|e|n|t|u|r|i|
ט|ר|ו|ש|ק|ן|	t|r|o|s:h|k|i:n|
ב|ר|י|ק|	b|r|i|k|
ו|י|ל|ט|ו|ן|	w|i|l|t|o|n|
א|ל|ב|י|ס|	e|l|v|i|s|
ק|ו|ל|מ|א|ן|	c|o|l:e|m|a|n|
ב|ו|ל|ן|	b|o|h:l|e:n|
א|ס|א|מ|ו:א|	a|s|a|m|o:a:h|
ל|ע|ר|ו|י|	l|a|r|o:u|i|
מ|ו|נ|י|ז|	m|o|n|i|z|
פ|א:י|ק|	p|i|k:e|
ט|נ|ר|י:ף|	t:e|n|e:r|i:f:e|
ש|ע|ר|א|ו|י|	s:h:a|a|r|a|w|i|
ג|א|ר|ז|ו|ן|	g|a|r|z|o|n|
ק|ו|ב|ו|	k|u|b|o|
ב|א|ל|ב|ו|א|	b|a|l|b|o|a|
ג:'|ר|מ:י|י|ן|	j|e:r|m|a:i|n:e|
ב|י|ל|ו|נ|ג|	b|i|l:l|o|n|g|
ו|ו|ל|ק|ר|	v|o|l|c:k|e:r|
ג:'|ר|ם|	j|r|m:e|
ג|י|ב|י|	g|i|v|i|
