ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
อ:ั:ล|ค|ร|ี|ต|	a:l|c|r|e|t:e|
ค|ี|ล:ี:่|	k|i:e|l:y|
เ|ท|ก:ซ:ั|ส|	t|e|x:a|s|
เ:อ|ส|ซ|ิ|น|เ:ด|ิ:่:น|	e|s|s|e|n|d|o:n|
ส|ก|็:อ:ป|	s|c|o:p|
โ:บ|ร|ก:เ:ก|อ:ร:์|	b|r:o|k:e|r|
เ:บ|ร|ส|เ:ล:อ|ร:์|	b|r|e:s|l:e|r|
แ:อ|ล|เ:ป:อ|ร|ิ|น|	a|l|p:e|r|i|n|
แ:อ|เ:ร|ิ:่:น|	a|r|o:n|
ร|ิ|โ:ด|้|	r|i|d|e:a:u|
แ:ฮ|ง|ค|ิ|น|ส|ั|น|	h|a:n|k|i|n|s|o|n|
ม|อ|น|ต:์|โ:ก:เ|ม|ร|ี|,|	m|a|n|t|g:o|m:e|r|y|,|
ส|ก|ู:ล|แ:ค|ร|ฟ|ต:์|	s|c:h|o:o:l|c|r:a|f|t|
ค|ิ|ม|เ:ม:ิ|ล|	k|i|m|m:e|l|
เ:ล|น|ส:์|	l|e:n|z|
เ|บ|ล|ล|์|ว|ิ:ล|ล:์|	b|e|l|l|e|v|i|l:l:e|
ก:็:อ|ด|ซ|ี:ย:์|	g:o|d|s|e:y|
ช|อ|เ|ล|อ:ร:์|	s:c:h|a|l|l:e|r|
ค|อ|ส|เ:ก|ร|ฟ|	c|o|s|g|r:a|v:e|
ซ:ี|โ:อ|เ:อ:ช|	c|o|h|
เ:ด|ว:ิ|ล|ล:ี:เ|อ:ิ|ร:์|ส|	d|e:v:i|l|l:i|e|r|s|
เ:ช|ล|เ:ฟ:ิ|ร:์|ด|	s:h:e|l|f:o|r|d|
ล|ิ|ต|เ:ท|า|เ:อ|อ:ร:์|	l|i|t|t|a|u|e:r|
เ|บ|ส|เ|บ|อ|โ:ร|	b|e|s|s|b|o:r:o|u:g:h|
แ:ล|ส|ั|น|	l|a:s|i|n|
ไ:อ:น|์|ส|ไ:ต|น:์|,|	e:i|n|s|t:e:i|n|,|
ค:ั:ล|เ|ล|น|	c:u|l|l:e|n|
โ:พ|ล|า|ร:์|	p|o:l|a|r|
เ:ล|เ|ด|ิ:่:ก|	l|e|d:u|c|
เ:ร|เ:ด:ิ|่:น|	r:a:i|d:e|n|
ด|า|เ:น|ี:ย|ล|	d|a|n|i|e:l|
ล|า|โ:ร|ค|า|	l|a|r:o:c|c|a|
แ:ม:เ|ด|ล|ี:น|	m:a|d:e|l:e|i:n:e|
ค|อ|ส|ม|ิ|ก|	c|o|s|m|i|c|
ว:ิ|ต|ต|ิ:ง|เ:ต|ิ:้:น|	w:h:i|t|t|i:n:g|t|o:n|
ฮ|อ|ร:์|น|เ|บ|อ:ร:์|เ:ก:อ|ร:์|	h|o|r|n|b|e|r|g:e|r|
