ಅಮಾರೀ	a'marie
ಆ ಗಲೇ ಲಗ್ ಜಾ	aa gale lag ja
ಆಇದಾ	aa'idah
ಆಭಾ	aabhaa
ಆಭಿಜಾತ್	aabhijat
ಆಬಿರಾ	aabirah
ಆಬಶರ್	aabshar
ಆಚಾರ್ಯನಂದನಾ	aachaaryanandanaa
ಆಚಾರ್ಯಸುತಾ	aachaaryasutaa
ಆಚಾರ್ಯನಂದನ್	aachaarynandan
ಆಚಾರ್ಯನಂದನಾ	aachaarynandana
ಆಚಾರ್ಯನಂದನಾ	aachaarynandanaa
ಆಚಾರ್ಯಸುತ	aachaarysuta
ಆಚಾರ್ಯನಂದನ್	aacharyanandan
ಆಚಾರ್ಯಸುತ	aacharyasuta
ಆಚಾರ್ಯಸುತಾ	aacharyasutaa
ಆಚಾರ್ಯಸುತ	aacharysut
ಆಚಾರ್ಯಸುತ	aacharysuta
ಆಚರೇಕರ್	aachrekar
ಆದರ್ಶ್	aadarsh
ಆದರ್ಶಿ	aadarshi
ಆದತ್ ಸೆ ಮಜಬೂರ್	aadat se majboor
ಆಧಾರಶೀಲಾ	aadharshila
ಆದಿ ರಾತ್ ಕೆ ಬಾದ್	aadhi raat ke baad
ಆದಿ ರೋಟಿ	aadhi roti
ಆದಿ	aadi
ಆದಿಕವಿ	aadikavi
ಆದಿನಾರಾಯಣ	aadinaaraayan
ಆದಿನಾರಾಯಣ	aadinaarayan
ಆದಿಶ್ರೀ	aadishree
ಆದಿತ್ಯ	aadity
ಆದಿತ್ಯ	aaditya
ಆದಿತ್ಯಕೇಶವ್	aadityakeshav
ಆದಿತ್ಯವರ್ಧನ್	aadityavardhan
ಆದಿತ್ಯನಂದನ್	aaditynandan
ಆದಮಿ	aadmi
ಆದ್ಮಿ ಔರ್ ಇನ್ಸಾನ್	aadmi aur insaan
ಆಫತ್	aafat
ಆಫಿಯಾ	aafiya
ಆಗ್ ಆಂಧಿ ಔರ್ ತೂಫಾನ್	aag aandhi aur toofan
ಆಗ್ ಹಿ ಆಗ್	aag hi aag
ಆಗ್ ಕಾ ದರಿಯಾ	aag ka dariya
ಆಗ್ ಕಾ ತೂಫಾನ್	aag ka toofan
ಆಗ್ ಕಿ ಶೋಲೋ	aag ke sholay
ಆಗಲೇ	aagale
ಆಗ್ ಕೀ ಸೋಚ್	aage ki soch
ಆಹಿ	aahi
ಆಹ್ಲಾದಿತ್	aahlaadit
ಆಹ್ಲಾದ್	aahlad
ಆಹ್ಲಾದಿತ್	aahladit
ಆಹ್ವಾನಿತ್	aahwanit
ಆಯಿನಾ	aaina
ಆಜ್ ಕಾ ಅರ್ಜುನ್	aaj ka arjun
ಆಜ್ ಕಾ ದೌರ್	aaj ka daur
ಆಜ್ ಕಾ ಗುಂಡಾ	aaj ka gunda
ಆಜ್ ಕಾ ಗುಂಡರಾಜ್	aaj ka gundaraj
ಆಜ್ ಕಲ್	aaj kal
ಆಜ್ ಕೆ ಅಂಗಾರೆ	aaj ke angaarey
ಆಜ್ ಕೆ ಶಹಂಶಾಹ್	aaj ke shahanshah
ಆಜ್ ರೆ ಒ ಸಜನಾ	aaja re o sajna
ಆಜಾದ್	aajaad
ಆಕರ್ಷಣಾ	aakaankshaa
ಆಕಾಂಕ್ಷಾ	aakanksha
ಆಕರ್ಷಣ್	aakarshan
ಆಖಿರ್ ಚೀಖ್	aakhri cheekh
ಆಖಿರ್ ಚೆತಾವನೀ	aakhri chetawani
ಆಖಿರೀ ಗುಲಾಮ್	aakhri ghulam
ಆಖಿರಿ ಮುಜರಾ	aakhri mujra
ಅಖಿರಿ ಮುಕಾಬಲಾ	aakhri muqabla
ಆಖಿರಿ ನಿಶ್ಚಯ್	aakhri nishchay
ಆಕಿಫಾ	aakifah
ಆಕ್ರಾಂತ್	aakrant
ಆಲ್ಹಾ ಉದಲ್	aalha udal
ಆಲ್ಹಾದ್	aalhad
ಆಲಿಮ್	aalim
ಆಲಿಂಗನ್	aalingan
ಆಮಿರ್ ಸೊಹೈಲ್	aamer sohail
ಆಮಿಲಾ	aamilah
ಆಮಿನಾ	aaminah
ಆಮಿರ್	aamir
ಆಮೀರಾ	aamirah
ಆಮ್ಮೆ ಸಾಮ್ನೆ	aamne samne
ಆನ್ ಬಾನ್	aan baan
ಆನ್ ಮಿಲೋ ಸಜನಾ	aan milo sajna
ಆನಂದ್	aanand
ಆನಂದಮಯೀ	aanandamayee
ಆನಂದಿನೀ	aanandinee
ಆನಂದಿನಿ	aanandini
ಆಂಚಲ್ ಕೆ ಪೂಲ್	aanchal ke phool
ಆಂಧೀ ಔರ್ ತೂಫಾನ್	aandhi aur toofan
ಆಂಧೀ ತೂಫಾನ್	aandhi toofan
ಆಂಧಿಯಾಂ	aandhiyan
ಆಂಗನ್	aangan
ಆಂಗನ್ ಕೀ ಕಲೀ	aangan ki kali
ಆನಿಸಾ	aanisah
ಆಂಖ್ ಕಾ ತಾರಾ	aankh ka tara
ಆಂಖೆ	aankhen
ಆಂಖೋ ಆಂಖೋ ಮೆ	aankhon annkhon mein
ಆಂಸೂ	aansoo
ಆಪ್ ಬೀತಿ	aap beeti
ಆಪ್ ಕಾ ಪ್ಯಾರ್	aap ka pyar
ಆಪ್ ಕಿ ಸಾಥ್	aap ke sath
ಆಪ್ ಕಿ ಕಸಮ್	aap ki kasam
ಆಪ್ ಕಿ ಖಾತಿರ್	aap ki khatir
ಆಪ್ ಕಿ ಮರ್ಝೀ	aap ki maarzi
ಆಪ್ ತೊ ಐಸೆ ನಾ ಥೆ	aap to aise na the
ಆಕಿಬ್	aaqib
ಆರಾಧನಾ	aaradhana
ಆರಾಮ್	aaram
ಆರವ್	aarav
ಆರೋಹಣ್	aarohan
ಆರ್ಯಾವಾರ್ತ	aaryaavart
ಆಸ್ ಕಾ ಪಂಛೀ	aas ka panchhi
ಅಸ್ಸಾಮಿ	aasami
ಆಶಾ	aasha
ಆಶ್ನಾ	aasha
ಆಶಾ	aashaa
ಆಶಿಷ್	aasheesh
ಆಶಿರ್	aashir
ಆಶಿಷ್	aashish
ಆಸಿಫ್	aasif
ಆಸಿಂ	aasim
ಆಸಿಮಾ	aasimah
ಆಸಮಾನ್ ಸೆ ಗಿರಾ	aasman se gira
ಆತಿಫ್	aatif
ಆತಿಕ್	aatik
ಆತಿಕಾ	aatikah
ಆತಿರಾ	aatirah
ಆತ್ಮಜ	aatmaja
ಆವಿಷ್ಕಾರ್	aavishkaar
ಆಯೆ ದಿನ್ ಬಹಾರ್ ಕೆ	aaye din bahar ke
ಆಯಿ ಯಾದ್ ತೆರಿ	aayi yaad teri
ಆಯುಷ್ಮಾನ್	aayushmaan
ಆಯುಷ್ಮಾನ್	aayushman
ಅಬ್ ಆಯೆಗಾ ಮಝಾ	ab aayega mazaa
ಅಬ್ ದಿಲ್ಲಿ ದೂರ್ ನಹೀ	ab dilli door nahin
ಅಬ್ ಕ್ಯಾ ಹೋಗಾ	ab kya hoga
ಅಬಾದಿಯಾ	abadiyah
ಅಬಾ	abahh
ಅಬಾನ್ ಲಾಯ್ಡ್‌ಚಿಲೀಸ್	aban loydchiles
ಅಬನೂರ್	abanoor
ಅಬ್ಬಾಸೀ	abbaasee
ಅಬ್ದು ಶಹೀದ್	abduh shaahid
ಅಬ್ದು ಶಹೀದ್	abduh shahid
ಅಬ್ದುಲ್	abdul
ಅಬ್ದುಲ್ ಅಧೀಮ್	abdul adheem
ಅಬ್ದುಲ್ ಅದಲ್	abdul adl
ಅಬ್ಜುಲ್ ಅಫೂವ್	abdul afuw
ಅಬ್ದುಲ್ ಅಲೀಂ	abdul aleem
ಅಬ್ದುಲ್ ಅಲೀಂ	abdul alim
ಅಬ್ದುಲ್ ಅವ್ವಲ್	abdul awwal
ಅಬ್ದುಲ್ ಅಜೀಜ್	abdul azeez
ಅಬ್ದುಲ್ ಅಜೀಮ್	abdul azim
ಅಬ್ದುಲ್ ಬಾರ್	abdul barr
ಅಬ್ದುಲ್ ಬಸೀರ್	abdul basir
ಅಬ್ದುಲ್ ಫತಾ	abdul fatah
ಅಬ್ದುಲ್ ಗಫೂರ್	abdul gafoor
ಅಬ್ದುಲ್ ಗಫೂರ್	abdul gafur
ಅಬ್ದುಲ್ ಹಾಕಿಂ	abdul haakim
ಅಬ್ದುಲ್ ಹದೀ	abdul hadi
ಅಬ್ದುಲ್ ಹಫೀದ್	abdul hafeed
ಅಬ್ದುಲ್ ಹಕ್	abdul haq
ಅಬ್ದುಲ್ ಹಸೀಬ್	abdul hasib
ಅಬ್ದುಲ್ ಜಬ್ಬಾರ್	abdul jabbar
ಅಬ್ದುಲ್ ಕಬೀರ್	abdul kabeer
